Instrument,year,has ren segment,number of segments
000537.SZ,-2,False,5
000537.SZ,-2,False,5
000537.SZ,-2,False,5
000537.SZ,-2,False,5
000537.SZ,-2,False,5
000539.SZ,-2,False,1
000629.SZ,-2,False,5
000629.SZ,-2,False,5
000629.SZ,-2,False,5
000629.SZ,-2,True,5
000629.SZ,-2,False,5
000883.SZ,-2,True,6
000883.SZ,-2,False,6
000883.SZ,-2,False,6
000883.SZ,-2,False,6
000883.SZ,-2,True,6
000883.SZ,-2,False,6
002060.SZ,-2,False,5
002060.SZ,-2,False,5
002060.SZ,-2,False,5
002060.SZ,-2,False,5
002060.SZ,-2,False,5
002545.SZ,-2,False,5
002545.SZ,-2,False,5
002545.SZ,-2,False,5
002545.SZ,-2,False,5
002545.SZ,-2,False,5
071320.KS,-2,True,3
071320.KS,-2,False,3
071320.KS,-2,False,3
1811.HK,-2,True,3
1811.HK,-2,False,3
1811.HK,-2,False,3
2083.SE,-2,False,7
2083.SE,-2,False,7
2083.SE,-2,False,7
2083.SE,-2,False,7
2083.SE,-2,False,7
2083.SE,-2,False,7
2083.SE,-2,False,7
2380.HK,-2,True,4
2380.HK,-2,False,4
2380.HK,-2,False,4
2380.HK,-2,True,4
300569.SZ,-2,False,3
300569.SZ,-2,False,3
300569.SZ,-2,False,3
300772.SZ,-2,True,3
300772.SZ,-2,False,3
300772.SZ,-2,False,3
3038.T,-2,False,6
3038.T,-2,False,6
3038.T,-2,False,6
3038.T,-2,True,6
3038.T,-2,False,6
3038.T,-2,False,6
5110.SE,-2,False,6
5110.SE,-2,False,6
5110.SE,-2,False,6
5110.SE,-2,True,6
5110.SE,-2,False,6
5110.SE,-2,False,6
5711.T,-2,False,7
5711.T,-2,False,7
5711.T,-2,False,7
5711.T,-2,False,7
5711.T,-2,False,7
5711.T,-2,False,7
5711.T,-2,False,7
600011.SS,-2,False,3
600011.SS,-2,False,3
600011.SS,-2,False,3
600025.SS,-2,False,2
600025.SS,-2,False,2
600116.SS,-2,False,5
600116.SS,-2,False,5
600116.SS,-2,False,5
600116.SS,-2,False,5
600116.SS,-2,False,5
600236.SS,-2,True,5
600236.SS,-2,False,5
600236.SS,-2,False,5
600236.SS,-2,True,5
600236.SS,-2,False,5
600409.SS,-2,False,5
600409.SS,-2,False,5
600409.SS,-2,False,5
600409.SS,-2,False,5
600409.SS,-2,False,5
600459.SS,-2,False,0
600674.SS,-2,False,5
600674.SS,-2,True,5
600674.SS,-2,False,5
600674.SS,-2,False,5
600674.SS,-2,False,5
600795.SS,-2,False,6
600795.SS,-2,False,6
600795.SS,-2,False,6
600795.SS,-2,True,6
600795.SS,-2,False,6
600795.SS,-2,True,6
600886.SS,-2,False,4
600886.SS,-2,False,4
600886.SS,-2,True,4
600886.SS,-2,True,4
600905.SS,-2,False,0
600995.SS,-2,False,4
600995.SS,-2,False,4
600995.SS,-2,False,4
600995.SS,-2,False,4
601088.SS,-2,False,8
601088.SS,-2,False,8
601088.SS,-2,False,8
601088.SS,-2,False,8
601088.SS,-2,False,8
601088.SS,-2,False,8
601088.SS,-2,False,8
601088.SS,-2,False,8
6013.T,-2,False,5
6013.T,-2,False,5
6013.T,-2,False,5
6013.T,-2,False,5
6013.T,-2,False,5
601778.SS,-2,False,3
601778.SS,-2,True,3
601778.SS,-2,False,3
601991.SS,-2,False,3
601991.SS,-2,False,3
601991.SS,-2,False,3
603212.SS,-2,False,7
603212.SS,-2,False,7
603212.SS,-2,False,7
603212.SS,-2,False,7
603212.SS,-2,False,7
603212.SS,-2,False,7
603212.SS,-2,False,7
6504.T,-2,False,7
6504.T,-2,False,7
6504.T,-2,False,7
6504.T,-2,False,7
6504.T,-2,False,7
6504.T,-2,False,7
6504.T,-2,False,7
6806.TW,-2,False,5
6806.TW,-2,False,5
6806.TW,-2,False,5
6806.TW,-2,False,5
6806.TW,-2,False,5
688599.SS,-2,False,4
688599.SS,-2,False,4
688599.SS,-2,False,4
688599.SS,-2,False,4
8031.T,-2,False,9
8031.T,-2,False,9
8031.T,-2,False,9
8031.T,-2,False,9
8031.T,-2,False,9
8031.T,-2,False,9
8031.T,-2,False,9
8031.T,-2,False,9
8031.T,-2,False,9
9505.T,-2,False,4
9505.T,-2,False,4
9505.T,-2,False,4
9505.T,-2,False,4
9513.T,-2,False,5
9513.T,-2,False,5
9513.T,-2,False,5
9513.T,-2,False,5
9513.T,-2,False,5
9531.T,-2,False,8
9531.T,-2,False,8
9531.T,-2,False,8
9531.T,-2,False,8
9531.T,-2,False,8
9531.T,-2,False,8
9531.T,-2,False,8
9531.T,-2,False,8
A2.MI,-2,False,6
A2.MI,-2,False,6
A2.MI,-2,False,6
A2.MI,-2,False,6
A2.MI,-2,False,6
A2.MI,-2,True,6
ACOx.TO,-2,False,6
ACOx.TO,-2,False,6
ACOx.TO,-2,False,6
ACOx.TO,-2,False,6
ACOx.TO,-2,False,6
ACOx.TO,-2,False,6
ADAI.NS,-2,False,3
ADAI.NS,-2,False,3
ADAI.NS,-2,False,3
AEP.OQ,-2,False,6
AEP.OQ,-2,False,6
AEP.OQ,-2,False,6
AEP.OQ,-2,False,6
AEP.OQ,-2,False,6
AEP.OQ,-2,False,6
AES.N,-2,False,6
AES.N,-2,False,6
AES.N,-2,False,6
AES.N,-2,False,6
AES.N,-2,False,6
AES.N,-2,False,6
AEV.PS,-2,True,7
AEV.PS,-2,False,7
AEV.PS,-2,False,7
AEV.PS,-2,False,7
AEV.PS,-2,False,7
AEV.PS,-2,False,7
AEV.PS,-2,False,7
ALS.TO,-2,False,4
ALS.TO,-2,False,4
ALS.TO,-2,False,4
ALS.TO,-2,False,4
AP.PS,-2,False,4
AP.PS,-2,False,4
AP.PS,-2,False,4
AP.PS,-2,True,4
ARG.CN,-2,False,7
ARG.CN,-2,False,7
ARG.CN,-2,False,7
ARG.CN,-2,False,7
ARG.CN,-2,False,7
ARG.CN,-2,False,7
ARG.CN,-2,False,7
AVA.N,-2,False,4
AVA.N,-2,False,4
AVA.N,-2,False,4
AVA.N,-2,False,4
AVNT.NS,-2,False,4
AVNT.NS,-2,False,4
AVNT.NS,-2,False,4
AVNT.NS,-2,False,4
AWR.N,-2,False,3
AWR.N,-2,False,3
AWR.N,-2,False,3
AY.OQ,-2,False,4
AY.OQ,-2,False,4
AY.OQ,-2,False,4
AY.OQ,-2,False,4
BEPC.N,-2,True,6
BEPC.N,-2,True,6
BEPC.N,-2,False,6
BEPC.N,-2,False,6
BEPC.N,-2,True,6
BEPC.N,-2,True,6
BEP_u.TO,-2,False,6
BEP_u.TO,-2,False,6
BEP_u.TO,-2,False,6
BEP_u.TO,-2,False,6
BEP_u.TO,-2,False,6
BEP_u.TO,-2,False,6
BKH.N,-2,False,7
BKH.N,-2,False,7
BKH.N,-2,False,7
BKH.N,-2,False,7
BKH.N,-2,False,7
BKH.N,-2,False,7
BKH.N,-2,False,7
BN.N,-2,False,7
BN.N,-2,True,7
BN.N,-2,False,7
BN.N,-2,False,7
BN.N,-2,False,7
BN.N,-2,False,7
BN.N,-2,False,7
BP.L,-2,False,5
BP.L,-2,False,5
BP.L,-2,False,5
BP.L,-2,False,5
BP.L,-2,False,5
CBAV3.SA,-2,False,4
CBAV3.SA,-2,False,4
CBAV3.SA,-2,False,4
CBAV3.SA,-2,True,4
CMIG4.SA,-2,False,6
CMIG4.SA,-2,False,6
CMIG4.SA,-2,False,6
CMIG4.SA,-2,False,6
CMIG4.SA,-2,False,6
CMIG4.SA,-2,False,6
CMS.N,-2,False,3
CMS.N,-2,False,3
CMS.N,-2,False,3
CPFE3.SA,-2,True,5
CPFE3.SA,-2,False,5
CPFE3.SA,-2,False,5
CPFE3.SA,-2,False,5
CPFE3.SA,-2,False,5
CRBR.NS,-2,False,6
CRBR.NS,-2,False,6
CRBR.NS,-2,False,6
CRBR.NS,-2,False,6
CRBR.NS,-2,False,6
CRBR.NS,-2,False,6
CSNA3.SA,-2,False,7
CSNA3.SA,-2,False,7
CSNA3.SA,-2,False,7
CSNA3.SA,-2,False,7
CSNA3.SA,-2,False,7
CSNA3.SA,-2,False,7
CSNA3.SA,-2,False,7
CU.TO,-2,False,6
CU.TO,-2,False,6
CU.TO,-2,False,6
CU.TO,-2,False,6
CU.TO,-2,False,6
CU.TO,-2,False,6
DEHr.AT,-2,True,7
DEHr.AT,-2,False,7
DEHr.AT,-2,False,7
DEHr.AT,-2,False,7
DEHr.AT,-2,False,7
DEHr.AT,-2,False,7
DEHr.AT,-2,False,7
DUK.N,-2,False,4
DUK.N,-2,False,4
DUK.N,-2,False,4
DUK.N,-2,False,4
EDP.LS,-2,False,6
EDP.LS,-2,False,6
EDP.LS,-2,False,6
EDP.LS,-2,False,6
EDP.LS,-2,False,6
EDP.LS,-2,False,6
ELE.MC,-2,False,4
ELE.MC,-2,False,4
ELE.MC,-2,False,4
ELE.MC,-2,False,4
ELET6.SA,-2,False,4
ELET6.SA,-2,True,4
ELET6.SA,-2,False,4
ELET6.SA,-2,False,4
EMA.TO,-2,False,6
EMA.TO,-2,False,6
EMA.TO,-2,False,6
EMA.TO,-2,False,6
EMA.TO,-2,False,6
EMA.TO,-2,False,6
ENAE.WA,-2,False,6
ENAE.WA,-2,False,6
ENAE.WA,-2,False,6
ENAE.WA,-2,False,6
ENAE.WA,-2,False,6
ENAE.WA,-2,False,6
ENEI.MI,-2,False,10
ENEI.MI,-2,False,10
ENEI.MI,-2,False,10
ENEI.MI,-2,False,10
ENEI.MI,-2,False,10
ENEI.MI,-2,False,10
ENEI.MI,-2,False,10
ENEI.MI,-2,False,10
ENEI.MI,-2,False,10
ENEI.MI,-2,False,10
ENGIE.PA,-2,False,7
ENGIE.PA,-2,False,7
ENGIE.PA,-2,False,7
ENGIE.PA,-2,False,7
ENGIE.PA,-2,True,7
ENGIE.PA,-2,False,7
ENGIE.PA,-2,False,7
ENJSA.IS,-2,False,4
ENJSA.IS,-2,True,4
ENJSA.IS,-2,False,4
ENJSA.IS,-2,False,4
ENLT.TA,-2,False,4
ENLT.TA,-2,True,4
ENLT.TA,-2,False,4
ENLT.TA,-2,False,4
EONGn.DE,-2,False,12
EONGn.DE,-2,False,12
EONGn.DE,-2,False,12
EONGn.DE,-2,False,12
EONGn.DE,-2,True,12
EONGn.DE,-2,False,12
EONGn.DE,-2,False,12
EONGn.DE,-2,False,12
EONGn.DE,-2,False,12
EONGn.DE,-2,False,12
EONGn.DE,-2,True,12
EONGn.DE,-2,False,12
ETR.N,-2,False,4
ETR.N,-2,False,4
ETR.N,-2,False,4
ETR.N,-2,False,4
EXC.OQ,-2,False,6
EXC.OQ,-2,False,6
EXC.OQ,-2,False,6
EXC.OQ,-2,False,6
EXC.OQ,-2,False,6
EXC.OQ,-2,False,6
FGEN.PS,-2,False,8
FGEN.PS,-2,False,8
FGEN.PS,-2,True,8
FGEN.PS,-2,False,8
FGEN.PS,-2,False,8
FGEN.PS,-2,True,8
FGEN.PS,-2,False,8
FGEN.PS,-2,False,8
FORTUM.HE,-2,False,8
FORTUM.HE,-2,False,8
FORTUM.HE,-2,False,8
FORTUM.HE,-2,False,8
FORTUM.HE,-2,False,8
FORTUM.HE,-2,False,8
FORTUM.HE,-2,False,8
FORTUM.HE,-2,False,8
FTEK.OQ,-2,False,2
FTEK.OQ,-2,False,2
FTS.TO,-2,False,10
FTS.TO,-2,False,10
FTS.TO,-2,False,10
FTS.TO,-2,False,10
FTS.TO,-2,False,10
FTS.TO,-2,False,10
FTS.TO,-2,False,10
FTS.TO,-2,False,10
FTS.TO,-2,False,10
FTS.TO,-2,False,10
GEG.HM,-2,False,5
GEG.HM,-2,False,5
GEG.HM,-2,False,5
GEG.HM,-2,False,5
GEG.HM,-2,False,5
GPSC.BK,-2,False,3
GPSC.BK,-2,False,3
GPSC.BK,-2,False,3
HARL.L,-2,False,4
HARL.L,-2,False,4
HARL.L,-2,True,4
HARL.L,-2,False,4
HDG.HM,-2,False,5
HDG.HM,-2,False,5
HDG.HM,-2,False,5
HDG.HM,-2,False,5
HDG.HM,-2,True,5
HE.N,-2,False,3
HE.N,-2,False,3
HE.N,-2,False,3
HEGL.NS,-2,True,3
HEGL.NS,-2,False,3
HEGL.NS,-2,False,3
HOLMb.ST,-2,False,6
HOLMb.ST,-2,False,6
HOLMb.ST,-2,False,6
HOLMb.ST,-2,False,6
HOLMb.ST,-2,False,6
HOLMb.ST,-2,True,6
IBE.MC,-2,False,4
IBE.MC,-2,True,4
IBE.MC,-2,True,4
IBE.MC,-2,True,4
IDA.N,-2,False,3
IDA.N,-2,False,3
IDA.N,-2,False,3
IDC.HN,-2,False,0
LIGT3.SA,-2,False,5
LIGT3.SA,-2,False,5
LIGT3.SA,-2,False,5
LIGT3.SA,-2,False,5
LIGT3.SA,-2,False,5
MGEE.OQ,-2,False,4
MGEE.OQ,-2,False,4
MGEE.OQ,-2,False,4
MGEE.OQ,-2,False,4
MPLF.PSX,-2,False,3
MPLF.PSX,-2,False,3
MPLF.PSX,-2,False,3
NCLI.NS,-2,False,6
NCLI.NS,-2,True,6
NCLI.NS,-2,False,6
NCLI.NS,-2,False,6
NCLI.NS,-2,False,6
NCLI.NS,-2,False,6
NEOE3.SA,-2,False,0
NLCI.NS,-2,False,2
NLCI.NS,-2,False,2
NRG.N,-2,False,4
NRG.N,-2,False,4
NRG.N,-2,False,4
NRG.N,-2,False,4
NTPC.NS,-2,False,2
NTPC.NS,-2,False,2
ODAS.IS,-2,False,5
ODAS.IS,-2,False,5
ODAS.IS,-2,False,5
ODAS.IS,-2,False,5
ODAS.IS,-2,False,5
ORK.OL,-2,False,10
ORK.OL,-2,False,10
ORK.OL,-2,False,10
ORK.OL,-2,False,10
ORK.OL,-2,False,10
ORK.OL,-2,False,10
ORK.OL,-2,False,10
ORK.OL,-2,False,10
ORK.OL,-2,False,10
ORK.OL,-2,False,10
PAFO.NS,-2,False,7
PAFO.NS,-2,True,7
PAFO.NS,-2,False,7
PAFO.NS,-2,False,7
PAFO.NS,-2,False,7
PAFO.NS,-2,False,7
PAFO.NS,-2,False,7
PC1.HM,-2,False,6
PC1.HM,-2,True,6
PC1.HM,-2,False,6
PC1.HM,-2,False,6
PC1.HM,-2,False,6
PC1.HM,-2,False,6
PEG.N,-2,False,4
PEG.N,-2,False,4
PEG.N,-2,False,4
PEG.N,-2,False,4
PGRD.NS,-2,True,4
PGRD.NS,-2,False,4
PGRD.NS,-2,True,4
PGRD.NS,-2,False,4
PIF.TO,-2,True,3
PIF.TO,-2,False,3
PIF.TO,-2,True,3
PTCI.NS,-2,False,3
PTCI.NS,-2,True,3
PTCI.NS,-2,False,3
RATCH.BK,-2,False,4
RATCH.BK,-2,True,4
RATCH.BK,-2,False,4
RATCH.BK,-2,False,4
RITS.NS,-2,False,6
RITS.NS,-2,False,6
RITS.NS,-2,False,6
RITS.NS,-2,False,6
RITS.NS,-2,False,6
RITS.NS,-2,False,6
ROH2O.BX,-2,False,3
ROH2O.BX,-2,False,3
ROH2O.BX,-2,False,3
RWEG.DE,-2,False,7
RWEG.DE,-2,False,7
RWEG.DE,-2,False,7
RWEG.DE,-2,False,7
RWEG.DE,-2,True,7
RWEG.DE,-2,False,7
RWEG.DE,-2,False,7
SHEL.L,-2,False,5
SHEL.L,-2,False,5
SHEL.L,-2,False,5
SHEL.L,-2,False,5
SHEL.L,-2,False,5
SO.N,-2,False,6
SO.N,-2,False,6
SO.N,-2,False,6
SO.N,-2,False,6
SO.N,-2,True,6
SO.N,-2,False,6
SPI.OQ,-2,True,1
SRG.MI,-2,False,4
SRG.MI,-2,False,4
SRG.MI,-2,False,4
SRG.MI,-2,False,4
SSE.L,-2,False,10
SSE.L,-2,False,10
SSE.L,-2,False,10
SSE.L,-2,False,10
SSE.L,-2,False,10
SSE.L,-2,False,10
SSE.L,-2,False,10
SSE.L,-2,False,10
SSE.L,-2,False,10
SSE.L,-2,False,10
SVT.L,-2,False,4
SVT.L,-2,False,4
SVT.L,-2,False,4
SVT.L,-2,False,4
SXC.N,-2,False,5
SXC.N,-2,False,5
SXC.N,-2,False,5
SXC.N,-2,False,5
SXC.N,-2,False,5
TA.TO,-2,False,7
TA.TO,-2,True,7
TA.TO,-2,False,7
TA.TO,-2,False,7
TA.TO,-2,True,7
TA.TO,-2,False,7
TA.TO,-2,True,7
TCIL.NS,-2,False,6
TCIL.NS,-2,False,6
TCIL.NS,-2,False,6
TCIL.NS,-2,False,6
TCIL.NS,-2,False,6
TCIL.NS,-2,False,6
TTPW.NS,-2,True,5
TTPW.NS,-2,False,5
TTPW.NS,-2,False,5
TTPW.NS,-2,True,5
TTPW.NS,-2,False,5
UN01.DE,-2,False,4
UN01.DE,-2,False,4
UN01.DE,-2,False,4
UN01.DE,-2,False,4
UNACEMC1.LM,-2,False,5
UNACEMC1.LM,-2,False,5
UNACEMC1.LM,-2,False,5
UNACEMC1.LM,-2,True,5
UNACEMC1.LM,-2,False,5
VERB.VI,-2,False,6
VERB.VI,-2,False,6
VERB.VI,-2,False,6
VERB.VI,-2,False,6
VERB.VI,-2,False,6
VERB.VI,-2,True,6
XEL.OQ,-2,False,4
XEL.OQ,-2,False,4
XEL.OQ,-2,False,4
XEL.OQ,-2,False,4
